                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.59932,                0.47249,                0.84748,                0.82806,                0.80007,                0.81531,                0.66354,                0.72746,                 1.0323,                0.88089,               0.000161,               0.000161,               0.000161
                     91,                0.58021,                 0.4493,                0.83067,                 0.8515,                0.78723,                0.82557,                0.66775,                0.75851,                0.98516,                0.89005,             0.00014862,             0.00014862,             0.00014862
                     92,                0.56746,                0.44002,                0.83422,                0.80304,                0.86353,                0.83743,                0.67872,                0.72224,                0.86202,                0.88292,             0.00013625,             0.00013625,             0.00013625
                     93,                0.56865,                0.42863,                0.83418,                0.80856,                0.82062,                0.82519,                0.66467,                 0.7351,                0.90963,                0.88449,             0.00012387,             0.00012387,             0.00012387
                     94,                0.56602,                0.43117,                0.82975,                0.82182,                0.78475,                0.81736,                0.65306,                0.74973,                0.99705,                0.89057,              0.0001115,              0.0001115,              0.0001115
                     95,                0.55269,                0.41816,                0.82705,                0.84997,                0.80215,                0.83041,                0.66906,                0.73885,                 0.9448,                0.88883,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.55754,                0.41202,                0.82901,                0.84947,                  0.794,                0.82778,                 0.6654,                0.74288,                0.94824,                0.88817,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 0.5361,                0.40284,                0.82332,                0.84159,                0.79403,                 0.8281,                0.66927,                0.73629,                0.94095,                0.88626,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.55194,                0.41161,                 0.8298,                0.81036,                0.80961,                 0.8281,                0.67148,                0.73104,                0.91915,                0.88744,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.54656,                0.40307,                 0.8297,                0.79508,                0.81594,                0.82541,                0.66776,                0.73076,                0.94578,                0.88534,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.54492,                 0.4059,                 0.8288,                0.79235,                0.81159,                0.82231,                0.66497,                0.73282,                0.96673,                0.88552,              3.725e-05,              3.725e-05,              3.725e-05
