                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.54909,                0.40553,                0.83725,                0.80733,                0.79843,                0.83273,                0.67657,                0.74001,                0.94313,                0.89104,             0.00039613,             0.00039613,             0.00039613
                     72,                0.55969,                0.42409,                0.83761,                0.79867,                0.81749,                0.83126,                0.67534,                0.71829,                 0.9465,                0.88661,             0.00038375,             0.00038375,             0.00038375
                     73,                 0.5377,                0.39965,                0.83714,                0.83681,                 0.8152,                0.84481,                  0.688,                0.70717,                0.94382,                0.88576,             0.00037138,             0.00037138,             0.00037138
                     74,                0.55489,                0.41001,                0.84056,                0.80455,                0.85752,                0.85374,                0.69708,                0.70498,                0.87832,                0.89234,               0.000359,               0.000359,               0.000359
                     75,                0.53783,                0.40056,                0.83685,                0.82641,                0.79852,                0.84324,                0.67867,                0.71849,                0.93696,                0.89438,             0.00034663,             0.00034663,             0.00034663
                     76,                0.54558,                 0.3981,                0.83637,                0.84688,                0.75574,                0.83746,                0.67636,                0.72975,                0.95932,                0.89564,             0.00033425,             0.00033425,             0.00033425
                     77,                0.54338,                0.39884,                0.83684,                0.81899,                 0.7967,                0.83522,                0.67985,                0.73837,                 0.9979,                 0.8987,             0.00032188,             0.00032188,             0.00032188
                     78,                0.53936,                0.39941,                0.84133,                0.81101,                0.81105,                0.83663,                0.68132,                0.72566,                 1.0149,                0.89713,              0.0003095,              0.0003095,              0.0003095
                     79,                0.52919,                0.38569,                0.83257,                0.80872,                0.81769,                0.82699,                0.67477,                0.73445,                 1.0817,                0.90352,             0.00029713,             0.00029713,             0.00029713
                     80,                0.53241,                 0.3922,                0.83543,                 0.8407,                 0.7961,                0.83705,                0.67928,                0.72885,                 1.0262,                0.89854,             0.00028475,             0.00028475,             0.00028475
                     81,                0.54045,                0.40124,                0.84137,                 0.7972,                 0.8467,                0.83675,                 0.6809,                0.72944,                0.92871,                 0.8987,             0.00027237,             0.00027237,             0.00027237
                     82,                0.52031,                0.38553,                0.83324,                0.80533,                0.82023,                0.83388,                0.67934,                0.72633,                0.94336,                0.89733,                0.00026,                0.00026,                0.00026
                     83,                0.52991,                0.39433,                0.83608,                 0.8191,                0.80491,                0.82913,                0.67018,                 0.7333,                0.96408,                0.89809,             0.00024762,             0.00024762,             0.00024762
                     84,                0.52149,                0.38422,                0.82919,                0.79254,                0.82495,                0.83236,                0.67208,                 0.7336,                0.97498,                0.89789,             0.00023525,             0.00023525,             0.00023525
                     85,                0.52406,                0.38555,                0.83565,                0.79012,                0.82329,                0.83997,                0.68311,                0.72456,                0.94587,                0.89271,             0.00022288,             0.00022288,             0.00022288
                     86,                0.52433,                0.38091,                0.83361,                0.76078,                 0.8474,                0.83729,                0.67753,                0.73072,                0.96298,                0.89506,              0.0002105,              0.0002105,              0.0002105
                     87,                0.53982,                0.39378,                0.84184,                0.81601,                0.80399,                0.83564,                0.68156,                0.74354,                0.99404,                0.89726,             0.00019813,             0.00019813,             0.00019813
                     88,                0.51977,                0.37711,                0.83494,                0.80792,                0.83341,                0.83828,                 0.6847,                0.72768,                0.94435,                0.89125,             0.00018575,             0.00018575,             0.00018575
                     89,                0.52566,                0.38416,                0.83208,                0.80435,                0.83857,                0.84483,                0.69196,                0.72252,                0.91535,                0.89049,             0.00017338,             0.00017338,             0.00017338
                     90,                0.51315,                0.37492,                0.83102,                0.82931,                0.82053,                0.84155,                0.68523,                0.71779,                 0.9461,                0.88893,               0.000161,               0.000161,               0.000161
                     91,                0.48736,                0.33645,                0.81115,                 0.8662,                0.77787,                 0.8426,                 0.6893,                0.73101,                0.92239,                 0.8938,             0.00014862,             0.00014862,             0.00014862
                     92,                0.47459,                0.33455,                0.81459,                0.84774,                0.81766,                0.85017,                0.69224,                0.73136,                0.89172,                0.89553,             0.00013625,             0.00013625,             0.00013625
                     93,                0.48013,                0.33103,                0.81416,                0.87125,                0.77556,                0.84593,                 0.6853,                0.72927,                0.89949,                0.89656,             0.00012387,             0.00012387,             0.00012387
                     94,                0.47912,                0.33382,                0.81099,                0.84385,                 0.7941,                 0.8368,                0.68151,                0.73025,                0.91272,                0.89757,              0.0001115,              0.0001115,              0.0001115
                     95,                0.46604,                0.32473,                0.80961,                0.84337,                0.78562,                0.84013,                0.68333,                0.72854,                0.91863,                0.90092,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.46598,                0.31637,                0.81112,                0.84433,                0.78751,                0.84046,                0.67844,                 0.7266,                 0.9213,                0.89982,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.45221,                0.30953,                0.80733,                0.81614,                0.82445,                0.84268,                0.68444,                0.72331,                0.91182,                0.89883,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.46021,                0.31843,                 0.8119,                0.83246,                0.80826,                0.84522,                0.69086,                0.72632,                0.91782,                0.90001,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.46345,                0.31744,                0.81394,                0.82906,                0.81224,                0.84039,                0.68794,                0.72841,                0.93056,                0.89853,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.46411,                 0.3155,                0.81208,                0.82443,                0.81877,                0.83672,                0.68875,                0.72976,                0.94145,                0.89798,              3.725e-05,              3.725e-05,              3.725e-05
